AARS
FHL1
FKRP
FLCN
FLG
FLNA
FLNB
FLNC
FLT3
FN1
FOXE3
FOXG1
FOXN1
FOXP1
FOXP2
FPR1
FSHR
FTO 
FTSJ1
FZD4
G6PD
GAA
GABBR1
GABRA6
GABRB2
GABRB3
GABRG1
GABRG2
GADD45GIP1
GALC
GALNT12
GALNT2
GANAB
GARS
GATA2
GATA3
GATA6
GATAD2B
GBA
GBA2
GBE1
GCDH
GCK
Gene symbol
GFAP
GFER
GFI1
GFM2
GGCX
GIPC3
GJB2
GJC2
GLA
GLB1
GLI3
GLMN
GNB1
GNB5
GNE
GOLGA6L6
GOSR2
GP1BA
GP9
GPR179
GPR61
GPT2
GRHPR
GRIA1
GRIA2
GRIA3
GRIK2
GRIN1
GRIN2A
GRIN2B
GRIN2D
GRM1
GRM5
GRM6
GTPBP3
GUSB
GYS1
HBA1
HBA2
HBB
HCN1
HCN2
HCN4
HDAC4
HECW2
HEPACAM
HERC2
HEXA
HFE
HGSNAT
HIVEP2
HK3
HLA-A
HMGA2
HNF1B
HNRNPC
HNRNPR
HNRNPU
HNRNPUL1
HPRT1
HRAS
HSD17B10
HSD17B4
HSF4
HSPB1
HSPB8
HSPG2
HTR2C
HUWE1
HYOU1
IARS2
IDS
IDUA
IFIH1
IFNGR1
IFT74
IGF1R
IGFIR
IGLL1
IL10RA
IL17F
IL17RA
IL17RC
IL1RAPL1
IL21
IL2RA
IL36RN
IL7R
INHBA
INTS1
IQCE
IQSEC2
IRF2BPL
IRF7
ISG15
ISPD
ITGA7
ITGB2
ITPA
ITPR1
JAGN1
JAK1
JAK2
JAK3
JMJD1C
KANK1
KANK2
KANSL1
KAT6A
KAT6B
KBTBD13
KCNA1
KCNA2
KCND3
KCNE1
KCNH1
KCNH2
KCNJ10
KCNJ11
KCNJ2
KCNJ6
KCNMA1
KCNQ1
KCNQ2
KCNQ3
KCNQ4
KCNV2
KDM1A
KDM3B
KDM5B
KDM5C
KDM6B
KIAA0586
KIAA0586 
KIAA1210
KIAA2022
KIAA2022 
KIDINS220
KIF1A
KIF21B
KIF22
KIF5C
KIRREL3
KLF7
KLF8
KMT2A
KMT2B
KMT2C
KMT2D
KMT5B
KNL1
KRAS
KRBOX4
KRTAP1-3
KXD1
LAMA1
LAMA2
LAMA4
LAMP2
LAMTOR2
LARGE1
LARS
LBR
LDB3
LDLR
LHX4
LIAS
LIG4
LIPT1
LMBRD1
LMNA
LMX1B
LOX
LOXHD1
LPIN2
LRBA
LRIT3
LRP1
LRP2
LRP4
LRP5
LRP6
LRPPRC
LRRC4 
LRRC56
LRSAM1
LTBP2
LTBP3
LTBP4
LYST
LZTR1
MACF1
MAGEC1
MAGEL2
MAN1B1
MANBA
MAP1A
MAP2K2
MAP3K14
MAP3K7
MAPK81P3
MAPK8IP3
MAPT
MARK2
MARS
MARS1
MARS2
MASP2
MATR3
MAVS
MB21D1
MBD5
MBD6
MBL2
MC1R
MCCC1
MCCC2
MCPH1
MDN1
MECP2
MECR
MED12
MED12L
MED13
MED13L
MED23
MED25
MEF2C
MEFV
MEIS2
MEN1
MEPE
MET
MFAP5
MFN1
MFN2
MGME1
MITF
MLH1
MLL2
MLYCD
MMAA
MMACHC
MME
MMUT
MN1
MORC2
MPDU1
MPI
MPO
MPP6
MPST
MPV17
MPV17L2
MPZ
MRE11A
MRPL3
MRPL44
MRPS30
MSH2
MSH3
MSH6
MSL2
MSL3
MSRB3
MT_CO2
MT_TP
MT-ATP6
MT-ATP8
MT-CO1
MT-CO2
MT-CO3
MT-CYB
MT-DLOOP
MTFMT
MTHFD2L
MT-ND1
MT-ND2
MT-ND4
MT-ND4L
MT-ND5
MT-ND6
MTOR
MT-RNR1
MT-RNR2
MTRR
MT-TA
MT-TC
MT-TE
MT-TG
MT-TH
MT-Ti
MT-TL1
MT-TL2
MTTP
MT-TT
MT-TV
MT-TW
MT-TY
MUTYH
MVK
MVK 
MXRA5
MYBPC3
MYD88
MYH11
MYH14
MYH2
MYH6
MYH7
MYH9
MYL10
MYLK
MYO15A
MYO18B
MYO1E
MYO3A
MYO3B
MYO7A
MYO7A 
MYO7B
MYO9A
MYOM1
MYOT
MYPN
MYT1L
NACC1
NADK2
NAGS
NALCN
NANS
NARS2
NBAS
NBN
NCF2
NCF4
NCKAP1
NCOA4
ND1
NDP
NDUFA1
NDUFA12
NDUFAF5
NDUFAF7
NDUFB1
NDUFS1
NDUFS4
NDUFV1
NEB
NEFH
NF1
NFATC1
NFIA
NFIB
NFIX
NFKB2
NFKBIA
NGF
NIN
NIPBL
NLGN3
NLRC4
NLRP12
NLRP3
NME8
NMI
NOD2
NODAL
NOS1
NOTCH1
NOTCH3
NOXA1
NPC1
NPC2
NPR2
NPRL2
NPRL3
NR3C1
NR4A2
NRAS
NRN1L
NRXN1
NRXN2
NRXN3
NSD2
NSF
NSUN2
NT5E
NTHL1
NTRK1
NUBPL
NUP188
OCA2
OGT
OPA1
OPA3
OPHN1
OR6K2
ORAI1
ORC1
OTOG
OTOGL
OXA1L
P2RX7
P3H1
PACS1
PAFAH1B1
PAH
PAK1
PALB2
PAM16
PANK2
PAPPA2
PAX2
PAX5
PAX6
PBX1
PC
PCCB
PCDH12
PCDH19
PCDHB16
PCDHB4
PCK2
PCNT
PDCD10
PDE6B
PDHX
PDK1
PDLIM3
PDS5A
PDX1
PEPD
PEX1
PEX16
PEX6
PFKM
PGAM2
PGK1
PGM1
PHF6
PHF8
PHIP
PHKA2
PIGG
PIGL
PIGO
PIGO 
PIGT
PIK3R1
PIK3R2
PIK3R5
PINK1
PITRM1
PKD1
PKD2
PKHD1
PKP2
PLCG2
PLEC
PLEKHG5
PLOD1
PLOD3
PLXNA3
PLXNB3
PMM2
PMP22
PMS2
PNKD
PNKP
PNPLA6
PNPO
PNPT1
POGLUT1
POGZ
POLD1
POLE
POLG
POLR3A
POLR3B
POMGNT1
POMT2
POU1F1
POU4F1
POU4F3
PPA2
PPM1D
PPOX
PPP2R1A
PPP2R2B
PPP2R5D
PPT1
PQBP1
PRB2
PRDM1
PRDM16
PREX2
PRF1
PRICKLE1
PRKAR1A
PRKCD
PRKDC
PRKG1
PRKN
PRMT7
PROM1
PROP1
PRPH2
PRR5-ARHGAP8
PRRT2
PRSS12
PRSS2
PRSS33
PRUNE2
PRX
PSMB8
PSMD12
PTCH1
PTCH1 
PTCH2
PTEN
PTPN11
PTPN23
PTRH1
PTRH2
PUF60
PUM1
PVRL4
PYCR1
PYGM
QRFPR
QRICH1
RAB11FIP5
RAB3IP
RAD50
RAD51C
RAD51D
RAD54L2
RAF1
RAG1
RAI1
RAPSN
RB1
RBM10
RBM12
RBMX
RDH11
RDH5
RECQL
RECQL4
REEP2
RELA
RELB
RELN
RET
RFXANK
RGPD4
RHAG
RHBDF2
RHO
RHOBTB2
RHOT1
RINT1
RMND1
ROCK2
ROR2
RORA
RP1L1
RPE65
RPL26
RPS23
RRM2B
RSPH4A
RTEL1
RTTN
RUNX1
RYR1
RYR2
RYR3
SACS
SAMD9
SAMD9L
SARS2
SASH3
SATB2
SBF1
SBF2
SCAF1
SCAPER
SCARB2
SCN10A
SCN11A
SCN1A
SCN1B
SCN2A
SCN2B
SCN3A
SCN4A
SCN5A
SCN8A
SCN9A
SCNN1B
SCO1
SCP2
SDHA
SDHB
SDHD
SDSL
SERAC1
SERPINA1
SET1B
SETBP1
SETD1B
SETD2
SETD5
SGCE
SH3BP2
SHANK2
SHANK3
SIAE
SIM1
SIRT5
SIX5
SLC12A3
SLC12A6
SLC17A5
SLC19A2
SLC19A3
SLC22A5
SLC25A12
SLC25A23
SLC25A24
SLC25A46
SLC26A4
SLC27A4
SLC29A3
SLC2A1
SLC2A10
SLC37A4
SLC4A1
SLC6A1
SLC6A2
SLC6A8
SLC7A7
SLC9A3
SLITRK2
SLX4
SMAD3
SMAD6
SMARCA2
SMARCA4
SMARCAL1
SMARCE1
SMCHD1
SMOC1
SMPD1
SMS
SNAP25
SNCB
SNED1
SNX14
SNX27
SOD1
SON
SOS2
SOX10
SOX2
SP110
SP7
SPAST
SPATA5
SPATA5L1
SPEG
SPEN
SPG11
SPG7
SPINK1
SPINK5
SPTA1
SPTAN1
SPTB
SPTBN2
SPTLC2
SQSTM1
SRPK3
SRSF7
SSH3
ST3GAL5
STAG1
STAT1
STAT3
STIL
STIM1
STK11
STRA6
STRADA
STRC
STT3B
STX11
STXBP1
STXBP2
Submitter ID
SUCLA2
SUCLG2
SUGCT
SURF1
SYN1
SYNE1
SYNE2
SYNE4
SYNGAP1
SYNJ1
SYT12
SYT2
SYT4
SZT2
SZT2 
TAF1
TALDO1
TANC2
TAOK1
TAP1
TAP2
TAPBP
TBC1D23
TBC1D24
TBCK
TBK1
TBL1XR1
TBR1
TBX1
TCAP
TCF12
TCIRG1
TCN2
TCOF1
TCP10
TCTN1
TECPR2
TECTA
TEK
TENM1
TERT
TFG
TG
TGFB2
TGFBR2
TGM1
TGRBR2
TH
THAP1
THG1L
TICAM1
TIMM44
TINF2
TJP2
TKT
TLK2
TLR3
TLR7
TMC1
TMC6
TMC8
TMEM126B
TMEM173
TMLHE
TMPRSS3
TNFRSF13B
TNFRSF1A
TNRC6B
TNXB
TOPORS
TP53
TPM3
TPO
TPP1
TPP2
TRAF3IP2
TRAF7
TRAPPC9
TRIM4
TRIO
TRIOBP
TRIP12
TRMU
TRNT1
TRPM3
TRPS1
TRPV4
TRRAP
TSC1
TSC2
TSEN54
TSPEAR
TTC21B
TTC7A
TTLL5
TTN
TTN 
TTR
TUBA1A
TUBB
TUBB2A
TUBB2A 
TUBB2B
TUBB3
TUBB4A
TUBB4B
TXNRD2
UBA2
UBE2A
UBE3A
UBR3
UBTF
UGT1A5
UMOD
UNC13D
UNC80
UNC93B1
UPF3B
UQCRB
URB1
USH2A
USP1
USP45
USP7
USP8
USP9X
VARS2
VCL
VHL
VPS13A
VPS13B
VRK1
WAC
WDFY4
WDR37
WDR45
WDR81
WFS1
WIPF1
WNT10A
WRN
WWOX
XIAP
YARS2
YWHAZ
ZAP70
ZBTB18
ZBTB20
ZC4H2
ZDHHC9
ZEB2
ZFHX4
ZFP36L2
ZIC2
ZIC5
ZMYM2
ZMYND11
ZNF227
ZNF292
ZNF335
ZNF469
ZNF595
ZNF711
ZNF814
ZNF844
ZSWIM6
